id;nome;id_estado_fk;;;
;Vila Virginia;29;;;
;TATUAPÉ;29;;;
;Vila Azevedo;29;;;
;Vila Brasil;29;;;
;Chácara Califórnia;29;;;
;Vila Gomes Cardim;29;;;
;Vila Luisa;29;;;
;Vila Luzitana;29;;;
;Cidade Mãe do Ceu;29;;;
;Chácara Maranhão;29;;;
;Vila Moreira;29;;;
;Jardim Nalice;29;;;
;Chácara Paraíso;29;;;
;Chácara do Piqueri;29;;;
;Parque São Jorge;29;;;
;Tatuapé;29;;;
;Jardim Textilia;29;;;
;Vila Zilda;29;;;
;VILA FORMOSA;29;;;
;Jardim Anália Franco;29;;;
;Vila Antonina;29;;;
;Vila Araci;29;;;
;Chácara Belenzinho;29;;;
;Capão do Embira;29;;;
;Parque Cruzeiro do Sul;29;;;
;Vila Cruzeiro;29;;;
;Vila Embira;29;;;
;Vila Formosa;29;;;
;Jardim Galli;29;;;
;Vila Guarani;29;;;
;Jardim Iara;29;;;
;Vila Iraci;29;;;
;Vila Mafra;29;;;
;Jardim Maringá;29;;;
;Vila Matias;29;;;
;Vila Olinda;29;;;
;Jardim Piquerobi;29;;;
;Parque Santo Antônio;29;;;
;Jardim Santo Eduardo;29;;;
;Jardim Têxtil;29;;;
;Jardim Thealia;29;;;
;VILA MATILDE;29;;;
;Vila Aricanduva;29;;;
;Jardim Assunção;29;;;
;Vila Dalila;29;;;
;Vila Ester;29;;;
;Vila Eutália;29;;;
;Vila Guilhermina;29;;;
;Jardim Hercília;29;;;
;Jardim Maringá;29;;;
;Vila Matilde;29;;;
;Vila Nova Savoia;29;;;
;Cidade Patriarca;29;;;
;Jardim Samara;29;;;
;Jardim São Joao;29;;;
;Chácara Seis de Outubro;29;;;
;Vila Talarico;29;;;
;Jardim Triana;29;;;
;VILA PRUDENTE;29;;;
;Vila Alois;29;;;
;Vila Alpina;29;;;
;Jardim Avelino;29;;;
;Vila Bela;29;;;
;Vila Califórnia;29;;;
;Cj Hab Cintra Gordinho;29;;;
;Jardim Da Figueira;29;;;
;Jardim Haddad;29;;;
;Vila Lúcia;29;;;
;Vila Macedópolis;29;;;
;Parque Vila Prudente;29;;;
;Vila Prudente;29;;;
;Quinta Da Paineira;29;;;
;Vila Santa Tereza;29;;;
;Vila São Mauricio;29;;;
;Vila Toni;29;;;
;Vila Zelina;29;;;
;Vila Alto da Boa Vista;29;;;
;Fazenda Aricanduva;29;;;
;Vila Arisi;29;;;
;Jardim Brasília;29;;;
;Jardim das Carmelitas;29;;;
;Jardim Eliane;29;;;
;Jardim Fernandes;29;;;
;Jardim Ipanema;29;;;
;Jardim Itapema;29;;;
;Cidade Líder;29;;;
;Jardim Marilia;29;;;
;Jardim Santa Maria;29;;;
;Vila Santa Rita;29;;;
;Jardim Santa Terezinha;29;;;
;Vila São Paulo;29;;;
;Parque Savoy City;29;;;
;CIDADE TIRADENTES;29;;;
;Barro Branco;29;;;
;Conjunto Habitacional Santa Etelvina Barro Branco 1;29;;;
;Conjunto Habitacional Barro Branco 2;29;;;
;Conjunto Habitacional Fazenda Guaianases A/B;29;;;
;Cidade Castro Alves;29;;;
;Cohab Sítio Conceição;29;;;
;Conjunto Habitacional Inácio Monteiro;29;;;
;Vila Iolanda;29;;;
;Passagem Funda;29;;;
;Vila Paulista;29;;;
;Bairro Dos Pereira;29;;;
