null;FREGUESIA DO Ó;31
null;Vila Acre;31
null;Jardim Adélia;31
null;Vila Arcádia;31
null;Vila Bancária Munhoz;31
null;Vila Bela;31
null;Vila Bracaia;31
null;Vila Brito;31
null;Vila Bruna;31
null;Jardim Cachoeira;31
null;Vila Cardoso;31
null;Vila Cavaton;31
null;Vila do Congo;31
null;Vila Cruz das Almas;31
null;Chácara Domilice;31
null;Vila Dona América;31
null;Vila Elisabete;31
null;Vila Ferrucio;31
null;Vila Gonçalves;31
null;Vila Hebe;31
null;Vila Hermínia;31
null;Vila Iara;31
null;Vila Iório;31
null;Jardim Iracema;31
null;Vila Ismênia;31
null;Itaberaba;31
null;Parque Itaberaba;31
null;Vila Julio Cesar;31
null;Vila Liderlândia;31
null;Parque Mandi;31
null;Vila Manoel Lopes;31
null;Vila Marilu;31
null;Vila Marina;31
null;Vila Miriam;31
null;Moinho Velho;31
null;Jardim Monjolo;31
null;Jardim Monte Alegre;31
null;Parque Monteiro Soares;31
null;Morro Grande;31
null;Vila Morro Verde;31
null;Vila Nívea;31
null;Jardim Noêmia;31
null;Chácara Nossa Senhora Aparecida;31
null;Nossa Senhora do Ó;31
null;Vila Olga;31
null;Vila Palmeira;31
null;Vila Piccinin;31
null;Vila Portuguesa;31
null;Cj Hab Prestes Maia;31
null;Vila Primavera;31
null;Vila Progresso;31
null;Vila Ramos;31
null;Vila Regina;31
null;Chácara do Rosario;31
null;Vila Sá E Silva;31
null;Vila Santa Delfina;31
null;Vila São Francisco;31
null;Vila São Jorge;31
null;Parque São Luis;31
null;Jardim São Marcos;31
null;Vila São Vicente;31
null;Vila Schimidt;31
null;Vila Simões;31
null;Vila Siqueira;31
null;Vila Timóteo;31
null;Vila União;31
null;JARAGUÁ;31
null;Jardim Alvina;31
null;Vila Ana Rosa;31
null;Jardim Bandeirantes;31
null;Conjunto Habitacional Brigadeiro Eduardo Gomes;31
null;Vila Chica Luisa;31
null;Vila Clarice;31
null;Cidade D'abril;31
null;Parque Estadual do Jaraguá;31
null;Vila Ferrão;31
null;Vila Homero;31
null;Jardim Ipanema;31
null;Estância Jaraguá;31
null;Vila Jardim Zoológico;31
null;Jardim Jose Maria;31
null;Jardim Líder;31
null;Jardim Marilu;31
null;Parque Nações Unidas;31
null;Vila Nossa Senhora da Conceição;31
null;Vila Nova Parada;31
null;Parque Panamericano;31
null;Parada De Taipas;31
null;Cohab Pirituba;31
null;Jardim Pirituba;31
null;Jardim Rincão;31
null;Vila Santa Lucrécia;31
null;Vila Santo Estevam Reis;31
null;Jardim São João;31
null;Jardim Shangrila;31
null;Parque Jardim Taipas;31
null;Jardim Vivian;31
null;Cohab Voith;31
null;LIMÃO;31
null;Vila Barbosa;31
null;Vila Carbone;31
null;Vila Cristo Rei;31
null;Vila Diva;31
null;Vila Espanhola;31
null;Jardim das Graças;31
null;Bairro do Limão;31
null;Jardim Marina;31
null;Vila Marisbela;31
null;Chácara Morro Alto;31
null;Vila Morro Alto;31
null;Jardim do Morro;31
null;Conjunto Residencial Novo Pacaembu;31
null;Jardim Pereira Leite;31
null;Vila Prado;31
null;Jardim Primavera;31
null;Vila Santa Maria;31
null;Vila Santista;31
null;Vila São Luis;31
null;Jardim Tabor;31
null;PERUS;31
null;Jardim Adelfiore;31
null;Areião;31
null;Vila Caiuba;31
null;Vila Fanton;31
null;Vila Flamengo;31
null;Vila Inácio;31
null;Sítio Joá;31
null;Vila Malvina;31
null;Jardim dos Manacás;31
null;Chácara Maria Trindade;31
null;Vila Perus;31
null;Jardim do Russo;31
null;Vila São Paulo;31
null;Jardim Taipas;31
null;PIRITUBA;31
null;Jardim Anagilda;31
null;Recanto Anastácio;31
null;Vila Barreto;31
null;Vila Boacava;31
null;Vila Bonilha Nova;31
null;Vila Bonilha;31
null;Vila Catupia;31
null;Jardim Cidade Pirituba;31
null;City Recanto Anastácio;31
null;Vila Comercial;31
null;Jardim Felicidade;31
null;Vila Florentina;31
null;Vila Genioli;31
null;Vila Hermínia Lopes;31
null;Chácara Inglesa;31
null;Jardim Iris;31
null;Vila Itapeva;31
null;Jardim Líbano;31
null;Vila Liderança;31
null;Jardim Maggi;31
null;Vila Maria Trindade;31
null;Vila Mirante;31
null;Jardim Recanto Monte Alegre;31
null;Vila Moraes;31
null;Vila Nossa Senhora Aparecida;31
null;Vila Nossa Senhora Do Retiro;31
null;Vila Olga Cecília;31
null;Vila Palmeiras;31
null;Jardim Paquetá;31
null;Vila Pereira Barreto;31
null;Vila Pereira Cerca;31
null;Jardim dos Pinheiros;31
null;Piqueri;31
null;Parque Pirituba;31
null;Vila Pirituba;31
null;Vila Portugal;31
null;Jardim Regina;31
null;Vila Renato;31
null;Jardim Santa Mônica;31
null;Vila São Jose;31
null;Jardim São Jose;31
null;Jardim São Ricardo;31
null;Jardim Sidney;31
null;Vila Taiau;31
null;Vila Ursulina;31
null;Jardim Vista Linda;31
null;Conjunto Residencial Vista Verde;31
null;Jardim Vitória;31
null;Vila Zat;31
null;SÃO DOMINGOS;31
null;Parque Anhanquera;31
null;Vila Boaçava;31
null;City América;31
null;Vila Fiat Lux;31
null;Vila Guedes;31
null;Vila Jaguari;31
null;Jardim Jaraguá;31
null;Jardim Mangalot;31
null;Vila Mangalot;31
null;Parque Maria Domtila;31
null;Vila Maria Eugênia;31
null;Jardim Mutinga;31
null;Jardim Nardini;31
null;Jardim Santo Elias;31
null;Parque São Domingos;31
null;Jardim São Elias;31
null;Vila Soares;31
